SiteID,Species,SnailID,datetest_1,datetest_2,early_death,time_1,dist_1,time_2,dist_2,food_1,food_2
4,Cornu_aspersum,4L_Co,2022-04-25,2022-05-02,FALSE,63,94.9,58,78,0.41,0.53
4,Cornu_aspersum,4M_Co,2022-04-25,2022-05-02,FALSE,55,85.4,90,98.2,0.07,0.56
4,Cornu_aspersum,4N_Co,2022-04-25,2022-05-02,FALSE,90,88,90,27.8,0.66,0.5
4,Cornu_aspersum,4O_Co,2022-04-25,2022-05-02,FALSE,80,126.2,90,95,0.6,1.03
4,Cornu_aspersum,4P_Co,2022-04-25,2022-05-02,FALSE,68,97.9,70,114.1,0.74,1.02
4,Cornu_aspersum,4Q_Co,2022-04-25,2022-05-02,FALSE,90,32.4,90,99.8,0.26,0.47
4,Cornu_aspersum,4R_Co,2022-04-25,2022-05-02,FALSE,67,91,46,88.3,0.53,0.69
4,Cornu_aspersum,4S_Co,2022-04-25,2022-05-02,FALSE,90,54.4,90,24.7,0.3,0.45
4,Cornu_aspersum,4T_Co,2022-04-25,2022-05-02,FALSE,67,116.1,90,3.1,0.56,0.79
5,Cornu_aspersum,5A_Co,2022-04-25,2022-05-02,FALSE,90,26.4,90,6.5,0.38,0.49
5,Cornu_aspersum,5B_Co,2022-04-25,2022-05-02,FALSE,90,27,59,111.4,0.3,0.56
5,Cornu_aspersum,5C_Co,2022-04-25,2022-05-02,FALSE,73,115.4,90,95.9,0.38,0.82
5,Cornu_aspersum,5D_Co,2022-04-25,2022-05-02,FALSE,73,120,60,77.5,0.26,0.41
5,Cornu_aspersum,5E_Co,2022-04-25,2022-05-02,FALSE,63,96,69,92.3,0.33,0.9
5,Cornu_aspersum,5F_Co,2022-04-25,2022-05-02,FALSE,50,85.1,90,93.2,0.36,0.63
5,Cornu_aspersum,5G_Co,2022-04-25,2022-05-02,FALSE,83,98.2,79,78.7,0.28,0.48
5,Cornu_aspersum,5H_Co,2022-04-25,2022-05-02,FALSE,40,90.9,90,36.4,0.3,0.39
5,Cornu_aspersum,5I_Co,2022-04-25,2022-05-02,FALSE,81,120.2,90,68.9,0.22,0.42
5,Cornu_aspersum,5J_Co,2022-04-25,2022-05-02,FALSE,90,150,90,103.7,0.53,0.59
5,Cornu_aspersum,5K_Co,2022-04-25,2022-05-02,FALSE,90,23.9,77,99.8,0.5,0.33
5,Cornu_aspersum,5L_Co,2022-04-25,2022-05-02,FALSE,90,32.1,67,88.2,0.4,0.52
5,Cornu_aspersum,5M_Co,2022-04-25,2022-05-02,FALSE,52,83.9,54,109.5,0.39,0.49
5,Cornu_aspersum,5N_Co,2022-04-25,2022-05-02,FALSE,90,45.5,71,90.4,0.25,0.43
5,Cornu_aspersum,5O_Co,2022-04-25,2022-05-02,FALSE,48,86.9,80,103.3,0.15,0.52
5,Cornu_aspersum,5P_Co,2022-04-25,2022-05-02,FALSE,46,79,90,49.1,0.03,0.65
5,Cornu_aspersum,5Q_Co,2022-04-25,2022-05-02,FALSE,67,96.5,65,79.9,0.16,0.64
5,Cornu_aspersum,5R_Co,2022-04-25,2022-05-02,FALSE,83,119.4,78,104.1,0.48,0.74
5,Cornu_aspersum,5S_Co,2022-04-25,2022-05-02,FALSE,49,95.5,90,48.1,0.06,0.47
5,Cornu_aspersum,5T_Co,2022-04-25,2022-05-02,FALSE,90,11.3,90,76.8,0.4,0.62
6,Cornu_aspersum,6A_Co,2022-05-02,2022-05-09,FALSE,NA,NA,90,73.8,0,0.19
6,Cornu_aspersum,6B_Co,2022-05-02,2022-05-09,FALSE,70,93.4,90,68.9,0.3,0.4
6,Cornu_aspersum,6C_Co,2022-05-02,2022-05-09,FALSE,NA,NA,90,101.7,0.25,0.27
